ts,date,username,label,followers,media_count,is_own
2026-08-14 17:01,2026-08-14,musinsa.official,무신사,552594,19288,0
2026-08-14 17:01,2026-08-14,toss.im,토스,80520,989,0
2026-08-14 17:01,2026-08-14,todayhouse,오늘의집,1305060,13242,0
2026-08-14 17:01,2026-08-14,naver_official,네이버,143706,823,0
2026-08-14 17:01,2026-08-14,omg_electronics,오목교 전자상가,7292,58,0
2026-08-14 17:01,2026-08-14,29cm.home,29CM 홈,138225,959,0
2026-08-14 17:01,2026-08-14,pineinfo_insta,파인인포,13354,232,0
2026-08-14 17:01,2026-08-14,gmarket_official,지마켓,296446,2267,0
2026-08-14 17:01,2026-08-14,kream.co.kr,크림,372561,3581,0
2026-08-14 17:01,2026-08-14,marketkurly,컬리,214173,3136,0
2026-08-18 09:01,2026-08-18,musinsa.official,무신사,553002,19296,0
2026-08-18 09:01,2026-08-18,toss.im,토스,80937,991,0
2026-08-18 09:01,2026-08-18,todayhouse,오늘의집,1304683,13248,0
2026-08-18 09:01,2026-08-18,naver_official,네이버,144057,825,0
2026-08-18 09:01,2026-08-18,omg_electronics,오목교 전자상가,7302,60,0
2026-08-18 09:01,2026-08-18,29cm.home,29CM 홈,139040,963,0
2026-08-18 09:01,2026-08-18,pineinfo_insta,파인인포,13299,232,0
2026-08-18 09:01,2026-08-18,gmarket_official,지마켓,296517,2270,0
2026-08-18 09:01,2026-08-18,kream.co.kr,크림,372310,3582,0
2026-08-18 09:01,2026-08-18,marketkurly,컬리,214331,3136,0
2026-08-18 17:01,2026-08-18,musinsa.official,무신사,553033,19298,0
2026-08-18 17:01,2026-08-18,toss.im,토스,80953,991,0
2026-08-18 17:01,2026-08-18,todayhouse,오늘의집,1304665,13250,0
2026-08-18 17:01,2026-08-18,naver_official,네이버,144100,826,0
2026-08-18 17:01,2026-08-18,omg_electronics,오목교 전자상가,7301,60,0
2026-08-18 17:01,2026-08-18,29cm.home,29CM 홈,139067,963,0
2026-08-18 17:01,2026-08-18,pineinfo_insta,파인인포,13292,232,0
2026-08-18 17:01,2026-08-18,gmarket_official,지마켓,296544,2271,0
2026-08-18 17:01,2026-08-18,kream.co.kr,크림,372314,3583,0
2026-08-18 17:01,2026-08-18,marketkurly,컬리,214323,3136,0
2026-08-19 09:01,2026-08-19,musinsa.official,무신사,553120,19299,0
2026-08-19 09:01,2026-08-19,todayhouse,오늘의집,1304589,13253,0
2026-08-19 09:01,2026-08-19,naver_official,네이버,144179,826,0
