platform,date,title,type,views,reach,likes,comments,shares,saves,interactions,avg_watch_sec,total_watch_hours,url
instagram,2026-08-10,⚡ 700W 파워가 200원? 저소음+안정성 다 챙긴 CAPO 80PLU,carousel,192,192,8,0,0,0,8,0,0,https://www.instagram.com/p/Db1vqCwj2RI/
instagram,2026-08-07,"여름철 멀티탭 잘못 쓰면 시한폭탄이 될 수 있다는 사실, 알고 계셨나요?",carousel,264,264,5,0,0,1,6,0,0,https://www.instagram.com/p/DbuUt1YIP6n/
instagram,2026-08-06,무엇이든 물어보살 ⁉️ 컴퓨존 Q&A 조립PC편 컴퓨존에서 조립PC를 구,reel,2977,2360,34,0,7,4,45,11.8,8.3,https://www.instagram.com/reel/DbsSeycoESj/
instagram,2026-08-06,⌨️ 레이저 헌츠맨 V3 드디어 떴다!! 런칭 기념 사은품까지 1:1로 ,carousel,227,227,8,0,0,0,8,0,0,https://www.instagram.com/p/DbrdOGMD3dl/
instagram,2026-08-04,"🎁 3RSYS 사면 럭키박스 응모 찬스! RTX 3050, DDR5 램",carousel,208,208,5,0,0,1,7,0,0,https://www.instagram.com/p/Dboy3ICD4-3/
instagram,2026-08-04,"💼 HP 프로북, 4개의 혜택으로 만나요 최대 22만원 할인 + 적립금",carousel,144,144,5,0,0,0,5,0,0,https://www.instagram.com/p/DbmRU3rj269/
instagram,2026-08-03,#EVENT 고품질 CPU쿨러 래플 이벤트! ⚡행운의 주인공 총 2명! ,carousel,256,256,6,0,0,1,7,0,0,https://www.instagram.com/p/DbjrAnuj7pf/
instagram,2026-07-31,✨ 막내의 리뷰✨ 갤럭시 Z 폴드8 시리즈 편 이번에 이를 갈고 나온 갤,reel,14834,12054,52,0,13,8,75,7.3,25.2,https://www.instagram.com/reel/DbcP--Pjwll/
instagram,2026-07-31,🔥Galaxy Z8 사전구매 진행중🔥 새로워진 Galaxy Z Fol,carousel,170,170,6,0,0,0,6,0,0,https://www.instagram.com/p/Dbb89Ouj_e_/
instagram,2026-07-30,덕후라면 갤럭시 Z 폴드8을 무조건 사야 하는 이유 📹갤럭시 Z 폴드8,reel,1042,792,13,0,4,0,17,6.6,1.6,https://www.instagram.com/reel/DbaSdiZInAs/
instagram,2026-07-30,"🌊 여름 마지막 여행, 손에 뭐 챙겼어? 보조배터리 + 셀카봉 챙기고 ",carousel,178,178,9,0,0,0,9,0,0,https://www.instagram.com/p/DbZr8Z1ILMC/
instagram,2026-07-29,#EVENT 기가바이트 메인보드를 이가격에!?!? 래플 이벤트! ⚡행운의,carousel,239,239,9,0,0,0,10,0,0,https://www.instagram.com/p/DbXCBTTIHW-/
instagram,2026-07-28,🔥Galaxy Z8 사전구매 라이브🔥 📢7/28 오후 4시! 컴퓨존,carousel,281,281,9,1,0,0,10,0,0,https://www.instagram.com/p/DbUP4AXD_3-/
instagram,2026-07-24,🍀 벨킨 사러 가산점 가야하는 이유! 현장구매 최대 20%까지 뚝! �,carousel,210,210,10,0,0,0,10,0,0,https://www.instagram.com/p/DbJ_JL4D2bt/
instagram,2026-07-23,"컴퓨존 직원들은 무슨 키보드를 쓸까?✨ ""데스크 꾸미기 만렙"" 직원들의 ",reel,130827,95809,643,9,227,621,1528,24,643.6,https://www.instagram.com/reel/DbISp0hIohE/
instagram,2026-07-23,"🎉 HP 라이브 런칭 D-DAY 🎉 오늘 오후 4시, compuzon",carousel,203,203,6,0,0,0,6,0,0,https://www.instagram.com/p/DbH2KCcoHMI/
instagram,2026-07-22,#EVENT 📢 티피링크의 초특가 릴레이! 4주차 할인 안내 🩷 CC,carousel,190,190,7,0,0,1,8,0,0,https://www.instagram.com/p/DbEzbMYD2o3/
instagram,2026-07-21,시원하게 여름나기! LG전자 계절가전 특가 라이브 📅 7월 21일(화),carousel,141,141,4,0,0,0,4,0,0,https://www.instagram.com/p/DbCSTWtIPEq/
instagram,2026-07-20,#EVENT HP 무선 마우스를 단돈 200원에!?!? 고품질 마우스 래,image,218,218,7,0,0,0,7,0,0,https://www.instagram.com/p/DbAjHorINBv/
instagram,2026-07-16,승리를 부르는 컴퓨존! OMEN 이벤트! 🔵 배민 상품권 1만원 증정 ,carousel,146,146,8,0,0,0,8,0,0,https://www.instagram.com/p/Da1034RoIZL/
instagram,2026-07-15,초복엔 삼계탕? 이제 '보양 소프트웨어' 드실 시간! 🍲 놓치면 서운한,carousel,198,198,9,0,1,0,10,0,0,https://www.instagram.com/p/Dazq20ZoD8K/
instagram,2026-07-14,이번 여름휴가 집콕러 주목!🏖️ LG전자 X 컴퓨존 라이브 다양한 LG,carousel,184,184,6,0,0,0,6,0,0,https://www.instagram.com/p/DawuU7HoHQd/
instagram,2026-07-13,이 견적 괜찮을까?🤔 그래서 준비한 게임별 조립PC 추천 가이드! 내 ,carousel,391,391,13,0,2,1,17,0,0,https://www.instagram.com/p/DaucNDVIOEr/
instagram,2026-07-10,MSI 플래티넘 파워의 주인공은?⚡ MSI PRO 플래티넘 쿨러 500원,carousel,256,256,8,0,0,1,9,0,0,https://www.instagram.com/p/DamSFwVoPk9/
instagram,2026-07-09,"컴퓨존 의외로 여름휴가템 맛집인 거 앎? 물놀이용 튜브부터 접이식 카트,",carousel,171,171,8,0,0,0,8,0,0,https://www.instagram.com/p/DakI2txIE3O/
instagram,2026-07-08,이번 갤럭시 폴더블 & 워치 신제품 컴퓨존에서 대기 타야 하는 진짜 이유,carousel,277,277,16,0,10,0,26,0,0,https://www.instagram.com/p/DahclgJoJne/
instagram,2026-07-07,🎉컴퓨존 가산점 신사옥을 소개합니다 🎉 직원과 고객 모두를 위한 복합,reel,3538,2792,30,0,18,2,51,7.5,6.3,https://www.instagram.com/reel/DafBQUJoUMJ/
instagram,2026-07-07,Dell x 컴퓨존 최초 라이브 상륙! 역대급 핫써머 핫딜 🌊 🗓️라,carousel,172,172,4,0,0,0,4,0,0,https://www.instagram.com/p/DaeLXShj0Fv/
instagram,2026-07-03,#EVENT SUMMER REBOOT: 하반기 업그레이드 페스타 ☀️하반,carousel,200,200,13,0,1,1,15,0,0,https://www.instagram.com/p/DaUYMRFkvD2/
instagram,2026-07-01,예산별 게이밍 마우스🖱️ 컴퓨존 MD 찐 추천템 알려드립니다! 2026,carousel,1131,1131,22,0,3,1,26,0,0,https://www.instagram.com/p/DaPbjecj7x8/
instagram,2026-06-24,#EVENT 단돈 200원에 키보드를?! TNT 키보드 출시 기념 200,carousel,250,250,6,0,0,0,6,0,0,https://www.instagram.com/p/DZ9jjCpj1xr/
instagram,2026-06-23,나 오늘 모니터 급하게 필요했는데!!💦 컴퓨존 1시간 픽업으로 해결했다,reel,2356,1730,29,0,10,2,41,8.5,4.6,https://www.instagram.com/reel/DZ6XifIvc0J/
instagram,2026-06-23,주문하고 1시간 안에 바로 받아가세요!⚡ 주문 들어오는 순간부터 🖥️ ,reel,116444,87612,299,8,106,71,492,12.6,359.6,https://www.instagram.com/reel/DZ6VlsZIFQc/
instagram,2026-06-22,"#Event 미션, 할인코드를 입력하라 🖥️ AMD x 메탈킴 x 컴퓨",carousel,217,217,7,0,0,0,7,0,0,https://www.instagram.com/p/DZ4FTQdjwrp/
instagram,2026-06-02,"AI노트북 대여 이벤트💻 AI PC는 NPC, CPU, GPU를 사용하",carousel,183,183,5,1,0,0,6,0,0,https://www.instagram.com/p/DZE3eEcD_ii/
instagram,2026-05-07,"💖혜택 폼 야르하네💖 고유가시대 5월, 컴생 경제를 지키는 비법! ✅",image,221,221,2,2,0,0,4,0,0,https://www.instagram.com/p/DYBDyx1D-Be/
instagram,2025-11-04,지포스 게이머 페스티벌(GeForce Gamer Festival)이 성황,carousel,804,804,40,1,0,1,42,0,0,https://www.instagram.com/p/DQnbi9oDzzm/
instagram,2024-07-23,🌟Galaxy Watch7 / Watch Ultra🌟 Galaxy A,image,171,171,2,1,0,0,3,0,0,https://www.instagram.com/p/C9wl3wrvTK4/
instagram,2024-04-16,컴퓨존 중고/리퍼 인기 제품 가격 역주행! 💥💥💥노마진 마켓💥💥,carousel,83,83,4,2,0,0,6,0,0,https://www.instagram.com/p/C5zjtKQPUJs/
instagram,2024-02-06,💥💥💥컴퓨존 가전 대축제💥💥💥 🌟국민카드로 가전제품 결제 시,image,51,51,0,2,0,0,2,0,0,https://www.instagram.com/p/C2_PyquP2wA/
instagram,2023-11-16,VR 최강자만 모였다!😎 지금 컴퓨존에서 다양한 VR제품을 경험할 수 ,carousel,25,25,3,0,0,0,3,0,0,https://www.instagram.com/p/Czsb0ZGP4QA/
instagram,2023-07-27,방학이라고 놀기만 할 수 없지! 남들 보다 미리 준비하는 내가 다음 학기,carousel,18,18,13,0,0,1,14,0,0,https://www.instagram.com/p/CvMW9fcvEyU/
instagram,2023-07-18,🖤삼성 정품 갤럭시 버즈 케이스 모음전🖤>스토리 모아보기 링크 확인 ,carousel,19,19,18,1,0,0,19,0,0,https://www.instagram.com/p/Cu0Yj5NPC6r/
instagram,2023-07-05,#휴준완 #여름휴가 #브이로그 바야흐로 여행의 계절! 휴가를 완벽하게 보,carousel,13,13,7,2,0,0,9,0,0,https://www.instagram.com/p/CuTxiI3Pyge/
instagram,2023-04-28,녹색 지구를 위한 에코라이프 제로 웨이스트 지구의 날!🌍🌍🌍 환경 ,carousel,23,23,30,2,0,0,32,0,0,https://www.instagram.com/p/Crkg7ZDPd-5/
instagram,2023-04-24,🎀🎀DM발표 완료🎀🎀 코앞으로 다가온 가정의달! 기분좋게 시작하시,carousel,19,19,271,259,0,14,544,0,0,https://www.instagram.com/p/CrZ23bfP3dj/
